"ScanNumber, ScanNames, ScanPointNumber, Rates per bx, RateErr per bx"
Scan_1
1,X1,1
"{'2734': 1.9034427396036335e-05, '281': 1.8833606372936628e-05, '872': 1.9096281539532357e-05, '1783': 1.906691727526777e-05, '2774': 1.9228157134421055e-05, '2654': 1.880492554846569e-05, '81': 1.9113410598947666e-05, '1903': 1.9287504392195844e-05, '1983': 1.921898510772735e-05, '1943': 1.8247397974846535e-05, 'sum': 1.8975321245306988e-05, '952': 1.8941353300760965e-05, '1072': 1.951065596585977e-05, '41': 1.8975321245306988e-05, '1': 1.8834913498722015e-05, '1112': 1.9033831586057202e-05, '1032': 1.9096371306659422e-05, '912': 1.897113452287158e-05, '201': 1.9307407274027356e-05, '2814': 1.9547056490409885e-05, '992': 1.9370538711882546e-05, '2934': 1.836092851590365e-05, '2854': 2.0387507993291366e-05, '1152': 1.857488623500103e-05, '121': 1.9248453736508963e-05, '1863': 1.9576577142288442e-05, '241': 1.9000470001628855e-05, '161': 1.9006054981218767e-05, '2694': 1.9231117721574265e-05, '2894': 1.9377198168513132e-05, '1823': 1.9359001817065292e-05, '2023': 1.9764393755394849e-05, '2063': 1.9454456378298346e-05}"
"{'2734': 5.0333549180066711e-07, '281': 4.4144155360433703e-07, '872': 5.883862602134419e-07, '1783': 4.7076342393048305e-07, '2774': 6.5794961667614889e-07, '2654': 5.408517097407691e-07, '81': 5.9005878921673083e-07, '1903': 5.7470402884736983e-07, '1983': 4.6121759321980013e-07, '1943': 5.7763219709586496e-07, 'sum': 5.3285452523973871e-07, '952': 5.6625928164504182e-07, '1072': 6.2438534555670859e-07, '41': 5.3285452523973871e-07, '1': 4.9608153288871325e-07, '1112': 6.3349229611777459e-07, '1032': 3.2625258735914934e-07, '912': 7.0305948703703873e-07, '201': 4.4252279729332561e-07, '2814': 5.240306633287637e-07, '992': 6.4556326792335068e-07, '2934': 5.4385015432975058e-07, '2854': 5.8380114550465815e-07, '1152': 4.7775866655225658e-07, '121': 6.6510640428453121e-07, '1863': 4.9173998070818907e-07, '241': 4.4524335953740825e-07, '161': 5.9726602904716237e-07, '2694': 6.0903264504896852e-07, '2894': 5.7021097114665745e-07, '1823': 5.5146190610390174e-07, '2023': 6.2023614835101242e-07, '2063': 5.5637652985476061e-07}"
1,X1,2
"{'2734': 2.1374731659307145e-05, '281': 2.2840956214502895e-05, '872': 2.1558404880220462e-05, '1783': 2.0802127389623293e-05, '2774': 2.2689351202356384e-05, '2654': 2.328494634926564e-05, '81': 2.4324850049819552e-05, '1903': 2.2997014782863278e-05, '1983': 2.4286359180941392e-05, '1943': 2.3865445224433451e-05, 'sum': 0.00016445304362078836, '952': 2.2032570708880055e-05, '1072': 2.2574768273012812e-05, '41': 2.2242948034545407e-05, '1': 2.4295323447930922e-05, '1112': 2.4250547204773237e-05, '1032': 2.1602554194319773e-05, '912': 2.381141386745424e-05, '201': 2.2185455140731248e-05, '2814': 2.307536870878386e-05, '992': 2.1570326728243871e-05, '2934': 2.2724438742060509e-05, '2854': 2.4455866016643612e-05, '1152': 2.1926080271920289e-05, '121': 2.4107879940665473e-05, '1863': 2.4541811159762899e-05, '241': 2.4454174739443452e-05, '161': 2.1724165698718646e-05, '2694': 2.5157992671378643e-05, '2894': 2.241999036892881e-05, '1823': 2.3557084492303577e-05, '2023': 2.3838302408158168e-05, '2063': 2.2464175919211765e-05}"
"{'2734': 8.0771559580959657e-07, '281': 8.1245122955348241e-07, '872': 8.3241998499705109e-07, '1783': 7.2194594854477892e-07, '2774': 8.1585867129796639e-07, '2654': 7.0004171091725618e-07, '81': 1.0008395251335603e-06, '1903': 7.3369635132182113e-07, '1983': 8.1276783852898953e-07, '1943': 7.7042417327114476e-07, 'sum': 1.6849643646104275e-06, '952': 6.4071591143718893e-07, '1072': 8.4818571296350245e-07, '41': 6.7345459920420667e-07, '1': 8.5906917140623905e-07, '1112': 9.3316681249833808e-07, '1032': 8.4276110369530493e-07, '912': 8.6113447658347358e-07, '201': 6.5130373609217552e-07, '2814': 6.4995768060739391e-07, '992': 7.7521441636185342e-07, '2934': 9.0416903330282853e-07, '2854': 8.0276797997251575e-07, '1152': 7.7749071886881638e-07, '121': 9.0872201941687575e-07, '1863': 9.3150200011490124e-07, '241': 1.0176051072932966e-06, '161': 6.9057754275474877e-07, '2694': 9.0289650300545562e-07, '2894': 6.472715014761836e-07, '1823': 1.0235690171211619e-06, '2023': 9.2771687731378743e-07, '2063': 8.0063454972874911e-07}"
1,X1,3
"{'2734': 3.4200638037873435e-05, '281': 3.3594267551961818e-05, '872': 2.9410339175228727e-05, '1783': 3.4129181949538177e-05, '2774': 3.4421493000991174e-05, '2654': 3.6018011087435298e-05, '81': 3.5865502923115855e-05, '1903': 3.4599487389641584e-05, '1983': 3.819626126642106e-05, '1943': 3.7184964003245111e-05, 'sum': 0.00038769671227782964, '952': 3.7765294928249203e-05, '1072': 3.4001710173470204e-05, '41': 3.4518107986514225e-05, '1': 3.3480679212516408e-05, '1112': 3.3839801199064822e-05, '1032': 3.1391581069328821e-05, '912': 3.5720583491638534e-05, '201': 3.4753156160149953e-05, '2814': 3.642522533482406e-05, '992': 3.3189707210112829e-05, '2934': 3.6142862518317999e-05, '2854': 3.733713620022172e-05, '1152': 3.5517389915185052e-05, '121': 3.3180501668539363e-05, '1863': 3.7163556862651602e-05, '241': 4.0679949506738922e-05, '161': 3.3342273945891064e-05, '2694': 3.9171546541183487e-05, '2894': 3.4856925685744501e-05, '1823': 3.4419783241901313e-05, '2023': 3.7091569993208395e-05, '2063': 3.3851671196316603e-05}"
"{'2734': 1.1177406468109178e-06, '281': 1.215426379036568e-06, '872': 1.2127095753280281e-06, '1783': 9.8912704336096874e-07, '2774': 1.3076324134019465e-06, '2654': 1.1466386443243759e-06, '81': 1.2438385186808741e-06, '1903': 1.3341014511979886e-06, '1983': 1.6381150083282473e-06, '1943': 1.4624887877648791e-06, 'sum': 3.8780448238834779e-06, '952': 1.4527055356834289e-06, '1072': 1.3161918574675592e-06, '41': 1.0898207100104635e-06, '1': 1.43395352190122e-06, '1112': 1.1470980851326087e-06, '1032': 1.2716915254142863e-06, '912': 1.2686026632792033e-06, '201': 1.193156998440682e-06, '2814': 1.7918972188647171e-06, '992': 1.2492878936356911e-06, '2934': 1.5597128076783366e-06, '2854': 1.6218114091140168e-06, '1152': 1.4102102226597524e-06, '121': 1.600635051086763e-06, '1863': 1.4549973517378549e-06, '241': 1.521615947632357e-06, '161': 1.2766248045972139e-06, '2694': 1.6029681019907507e-06, '2894': 1.1070245154793599e-06, '1823': 9.2620683557591267e-07, '2023': 1.3688224873350365e-06, '2063': 1.110291945817976e-06}"
1,X1,4
"{'2734': 6.4752458820294129e-05, '281': 6.3468425105384091e-05, '872': 5.8223549058311622e-05, '1783': 5.8839483972406012e-05, '2774': 6.5330533470842059e-05, '2654': 6.5857487061293793e-05, '81': 7.5397614273242647e-05, '1903': 6.1721909332845826e-05, '1983': 6.8688653118442741e-05, '1943': 6.4656520407879725e-05, 'sum': 0.0021048543392680587, '952': 6.873559341329383e-05, '1072': 6.6699887793220117e-05, '41': 6.7837041024176875e-05, '1': 6.2346675440494431e-05, '1112': 6.8607091270678206e-05, '1032': 5.5430731845262929e-05, '912': 6.8743707561225162e-05, '201': 6.5727445689844896e-05, '2814': 6.6856613375421145e-05, '992': 5.9815142230945638e-05, '2934': 6.5938821535382885e-05, '2854': 7.3058164889516772e-05, '1152': 6.5168303444806957e-05, '121': 6.2564263498643416e-05, '1863': 6.7858267175324724e-05, '241': 6.9714542041765521e-05, '161': 6.3857866916805508e-05, '2694': 7.037489722279133e-05, '2894': 6.6617302763916086e-05, '1823': 6.8402640499698458e-05, '2023': 7.0015886558394419e-05, '2063': 6.3546752971888051e-05}"
"{'2734': 1.7977315121268164e-06, '281': 1.9936220724469944e-06, '872': 1.7515616710158936e-06, '1783': 1.6532051534572314e-06, '2774': 2.1847476823567563e-06, '2654': 1.8170248726032049e-06, '81': 1.9711987108492383e-06, '1903': 2.1489896410414115e-06, '1983': 2.0781495213920344e-06, '1943': 2.3340422368857135e-06, 'sum': 1.4929382914214067e-05, '952': 1.9026236219215812e-06, '1072': 1.7755794344633856e-06, '41': 1.788759082259916e-06, '1': 2.5428702503296302e-06, '1112': 2.2181707875885767e-06, '1032': 1.7154017853661854e-06, '912': 2.1955240138060642e-06, '201': 1.802707361076096e-06, '2814': 1.9245700337064168e-06, '992': 1.8523391050746409e-06, '2934': 1.5924359815354012e-06, '2854': 1.8844176679360779e-06, '1152': 2.2775004803919758e-06, '121': 1.9480320970681964e-06, '1863': 1.719349941517485e-06, '241': 1.7482594418504359e-06, '161': 2.2759703155206431e-06, '2694': 1.9997182596460832e-06, '2894': 1.954338487259265e-06, '1823': 2.2710728194198771e-06, '2023': 1.8394309819212165e-06, '2063': 2.0463280034234892e-06}"
